Código;Salida_Total;Descripción;Stock_Promedio;Rotacion
COCSIM-00001;650.0;"CONECTOR RECTO SIMPLE EMT 20MM/ 3/4"" -UL";43.333333333333336;15.0
CPE-00064;45.0;"CAJA DE PASE 200X200X100MM 1"" (F.G. 1.50)";3.0;15.0
COC-00005;33.0;"CONECTOR EMT 75MM/ 3"" -UL";2.2;14.999999999999998
CPE-00585;23.0;CAJA DE PASE 300X300X75MM CIEGA (F.G.0.75);1.5333333333333334;14.999999999999998
VLLA-00001;293.0;ROSC 3/8 X 1.80MTS.;19.533333333333335;14.999999999999998
TCE-00001;1442.0;TACO DE EXPANSION 3/8;96.13333333333334;14.999999999999998
CPE-00273;23.0;CAJA DE PASE 600X600X200MM CIEGA (F. G. 1.20);1.5333333333333334;14.999999999999998
CPE-00012;281.0;CAJA DE PASE 100X100X55MM CIEGA (F.G. 1.50).;18.8;14.946808510638297
TP-0007;590.0;TAPA CIEGA 100X100MM (F.G. 1.50).;39.611111111111114;14.894810659186534
CP-00023;1874.0;CAJA DE PASE 150X150X40MM (F. G. 0.75);125.81896551724138;14.894415895854745
'95;129.0;TAPA CIEGA 150X150MM (F.G.1.20);8.882352941176471;14.52317880794702
CPE-00265;121.0;CAJA DE PASE 150X150X50MM 1/2 (F.G.0.90).;8.333333333333334;14.52
CPE-00133;13.0;CAJA DE PASE 900X900X200MM CIEGA (F.G. 1.50);0.9;14.444444444444445
'35;162.0;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);11.452054794520548;14.145933014354068
COC-00010;108.0;CONECTOR HERMETICO 25MM;7.764705882352941;13.90909090909091
'74;2429.0;CAJA DE PASE 150X150X75MM (F.G.0.60);179.88235294117646;13.503270111183781
CERE-015;6620.0;CAJA RECT 100X60X50MM BC 1/2 (F.G. 1.20).;500.8888888888889;13.216503992901508
CP-00082;483.0;CAJA DE PASE 150X150X100MM 3/4 (F.G. 1.20).;36.666666666666664;13.172727272727274
CPE-00716;45.0;CAJA PASE 100X100X40MM CIEGA (F.G. 1.20);3.4210526315789473;13.153846153846153
BISG-00001;1026.0;BISAGRA CORRIDA 1.20ML (0.70);78.58333333333333;13.056203605514316
ABZ-00018;92.0;"ABRAZADERA 2 OREJAS 2"" EMT";7.05;13.049645390070923
CPE-00673;63.0;CAJA DE PASE 200X200X100MM 1/2 (F.G. 0.75);4.846153846153846;13.000000000000002
CCL-00009;15.0;CAJA CONDULET TIPO T 1/2;1.1538461538461537;13.000000000000002
CPE-01013;13.0;CAJA DE PASE 400X400X100MM CIEGA (F.G 0.75).;1.0;13.0
CPE-00148;51.0;CAJA DE PASE 300X300X120MM CIEGA (F. G. 1.50);3.923076923076923;13.0
CPE-00051;37.0;"CAJA DE PASE 150X150X100MM 1"" (F.G. 1.50)";2.8461538461538463;13.0
CPE-00612;25.0;CAJA DE PASE 100X100X60MM CIEGA (F.G.1.20);1.9230769230769231;13.0
TBC-00007;124.0;"TUBERIA CONDUIT EMT 35MM/ 1 1/4"" X 3MTS-UL PESADO";9.538461538461538;13.0
CPE-00224;8.0;CAJA DE PASE 350X350X150MM CIEGA (F.G. 1.50);0.6153846153846154;13.0
CPE-00210;6.0;CAJA DE PASE 600X600X150MM CIEGA (F. G. 1.20);0.46153846153846156;13.0
TBC-00016;122.0;TUBERIA CONDUIT FLEXIBLE LIVIANO 25MM 1”	;9.384615384615385;13.0
CPE-00444;125.0;CAJA DE PASE 150X150X75MM 3/4 (F. G.1.50);9.615384615384615;13.0
CPE-00676;59.0;CAJA DE PASE 200X200X50MM CIEGA (F.G. 1.20);4.538461538461538;13.0
UNC-00006;66.0;"UNION EMT 100MM/ 4"" -UL";5.076923076923077;13.0
BANR-00083;28.0;BANDEJA RANURADA 300X100X2400MM C/TAPA (F.G. 1.20);2.1538461538461537;13.0
CPE-00104;14.0;CAJA DE PASE 1100X1000X250MM CIEGA (F. G. 1.50);1.0769230769230769;13.0
CPE-00026;61.0;CAJA DE PASE 100X100X100MM  3/4 (F.G. 1.20);4.6923076923076925;13.0
CPE-00268;5.0;CAJA DE PASE 350X350X200MM CIEGA (F. G. 0.75);0.38461538461538464;13.0
CPE-00480;7.0;CAJA DE PASE 800X800X250MM CIEGA (F.G.1.50);0.5384615384615384;13.0
CPE-00456;13.0;CAJA DE PASE 400X300X200MM CIEGA (F.G. 1.20);1.0;13.0
TUCA-00001;2408.0;TUERCA 3/8.;185.23076923076923;13.0
CPE-00369;6.0;CAJA DE PASE 350X350X200MM CIEGA (F. G. 1.20);0.46153846153846156;13.0
TBC-00010;89.0;"TUBERIA CONDUIT EMT 65MM/ 2 1/2"" X 3MTS-UL PESADO";6.846153846153846;13.0
CPE-01002;22.0;CAJA DE PASE 300X300X100MM CIEGA (F.G. 2.00).;1.6923076923076923;13.0
CP-00089;85.0;CAJA DE PASE 200X200X100MM HCO ESP (F. G. 1.20);6.538461538461538;13.0
GA-00039;44.0;GABINETE ADOSABLE 1000X550X150MM CIEGA (F. G. 1.50);3.3846153846153846;13.0
CUC-00006;44.0;"CURVA EMT 100MM/ 4"" -UL";3.3846153846153846;13.0
CPE-00091;27.0;CAJA DE PASE 300X300X100MM 3/4 (F. G. 1.50);2.076923076923077;12.999999999999998
CPE-00031;35.0;CAJA DE PASE 100X100X100MM CIEGA (F.G. 1.50);2.6923076923076925;12.999999999999998
CPE-00611;27.0;CAJA DE PASE 100X50X60MM CIEGA (F.G.1.20);2.076923076923077;12.999999999999998
CP-00013;1283.0;CAJA DE PASE 100X100X50MM CIEGA (F. G. 0.60);98.91176470588235;12.97115670532263
TPG-00002;897.0;TAPA UN GANG (F.G. 0.90).;69.1875;12.964769647696476
COC-00011;116.0;CONECTOR RECTO HUB  20MM  3/4;9.0;12.88888888888889
CEO-019;885.0;CAJA OCTOG 100X50MM BR 3/4 (F.G 0.90).;68.84615384615384;12.854748603351956
UNC-00013;93.0;"UNION EMT 65MM/ 2"" 1/2-UL";7.235294117647059;12.853658536585366
'1;68.0;PLANCHA GALVANIZADA F°G° 1.45 (1200x2400mm);5.291666666666667;12.8503937007874
TUCA-00003;1140.0;TUERCA HEXAGONAL 3/8;89.23076923076923;12.775862068965518
TPH-00010;1423.0;TAPA OCTOG  3/4 (F. G. 1.50).;112.22727272727273;12.679627379505872
'88;970.0;TAPA 200X200MM (F.G.0.75);76.82692307692308;12.62578222778473
CP-00021;390.0;"CAJA DE PASE 100X100X50MM  1"" (F. G.1.20).";31.194444444444443;12.502226179875334
TBC-00024;145.0;"TUBERIA IMC 20MM/ 3/4"" X 3MTS";12.142857142857142;11.941176470588236
TPG-00003;4730.0;TAPA UN GANG (F.G. 1.50).;400.10526315789474;11.82188897658511
CEO-026;2950.0;CAJA OCTOG 100X55MM BC 3/4 (F. G. 1.50).;254.04166666666666;11.61226832868624
'87;503.0;TAPA 150X150MM (F.G.1.50);43.73913043478261;11.5
CPE-00013;193.0;CAJA DE PASE 100X100X75MM  3/4 (F. G. 0.75).;16.870967741935484;11.439770554493307
SCHU-0029;276.0;CAJA SCHUKO 130X70X50MM 1/2 (F. G. 1.20).;24.357142857142858;11.331378299120235
ABZ-00009;73.0;ABRAZADERA CONDUIT TIPO O 3/4;6.5;11.23076923076923
COC-00008;557.0;"CONECTOR EMT 15MM/  1/2"" -UL";49.645833333333336;11.21947125472094
CPE-00161;47.0;CAJA DE PASE 250X250X100MM CIEGA (F. G. 0.90);4.217391304347826;11.144329896907216
BANR-00013;74.2;BANDEJA RANURADA 400X100MM (F.G. 1.20);6.671428571428572;11.1220556745182
CEO-027;1510.0;CAJA OCTOG 100X40MM HCO ESP 3/4 (F.G 0.75).;136.14285714285714;11.091290661070305
CP-00081;32.0;CAJA DE PASE 300X300X160MM CIEGA (F. G. 1.20);2.8947368421052633;11.054545454545455
VLLA-00003;120.0;ESPARRAGO ROSCADO 1/2” X 1.00 MTS;10.909090909090908;11.0
CPE-00867;21.0;CAJA DE PASE 250X250X130MM CIEGA (F.G. 1.20);1.9090909090909092;11.0
CPE-00291;4.0;CAJA DE PASE 500X500X250MM CIEGA (F. G. 1.50);0.36363636363636365;11.0
CPE-00396;28.0;"CAJA DE PASE 150X150X100MM 1"" (F.G. 0.90)";2.5454545454545454;11.0
ABZ-00010;86.0;"ABRAZADERA UNISTRUT 3"" EMT - RIGID";7.818181818181818;11.0
CPE-00583;6.0;CAJA DE PASE 350X350X150MM CIEGA (F.G.0.70);0.5454545454545454;11.0
CPE-00707;150.0;CAJA DE PASE 100X100X70MM 3/4 (F° G° 0.70);13.636363636363637;11.0
CP-00088;17.0;CAJA DE PASE 350X350X100MM CIEGA (F. G. 0.70);1.5454545454545454;11.0
CP-00100;19.0;CAJA DE PASE 150X150X100MM 1/2 (F.G. 0.90);1.7272727272727273;11.0
CPE-00110;26.0;CAJA DE PASE 400X400X150MM (F.G. 1.50);2.3636363636363638;11.0
CJBAME-00071;14.0;CAJA BANCO MEDIDOR 760X200X200MM (F.G. 1.20);1.2727272727272727;11.0
GA-00043;23.0;GABINETE ADOSABLE 200X200X100MM CIEGA (F.G. 1.20);2.090909090909091;11.0
CPE-00672;28.0;CAJA DE PASE 200X200X100MM 3/4 (F.G.0.75);2.5454545454545454;11.0
CTF-E-00004;19.0;"CAJA  TELEF. 300X300X150MM 1"" (F. G. 0.90) C/ CHAPA PUSH";1.7272727272727273;11.0
ABZ-00017;110.0;ABRAZADERA FG 2 OREJAS 65MM	;10.0;11.0
CPE-00661;26.0;CAJA DE PASE 300X300X150MM 1” (F.G. 1.20);2.3636363636363638;11.0
TBC-00029;24.0;"TUBERIA CONDUIT EMT 50MM/ 2"" X 3MTS-UL PESADO";2.1818181818181817;11.0
CPE-01026;24.0;CAJA DE PASE 250X250X75MM (F.G.1.20);2.1818181818181817;11.0
CPE-00639;4.0;CAJA DE PASE 200X200X200MM CIEGA (F. G. 1.20);0.36363636363636365;11.0
TBC-00020;95.0;TUBERIA CONDUIT FLEXIBLE LIVIANO 65MM 2 1/2”	;8.636363636363637;11.0
'80;4.0;CAJA DE PASE 500X400X200MM CIEGA (F.G.1.20);0.36363636363636365;11.0
TBC-00022;53.0;TUBERIA CONDUIT FLEXIBLE LIVIANO 102MM 4”	;4.818181818181818;11.0
CPE-00515;3.0;CAJA DE PASE 650X650X200MM CIEGA (F. G. 1.20);0.2727272727272727;11.0
UNC-00005;40.0;"UNION EMT 75MM/ 3"" -UL";3.6363636363636362;11.0
CUC-00013;36.0;"CURVA EMT 65MM/ 2 1/2"" -UL";3.272727272727273;11.0
CPE-00652;40.0;CAJA DE PASE 100X100X70MM 3/4 (F. G. 1.20);3.6363636363636362;11.0
